Player,Role,Base Price,Sold Price,Points,Playing
Prithvi Shaw (R),Batter,–,₹7.5 crore,9,1
Sarfaraz Khan,Batter,₹20 lakh,₹20 lakh,8.5,0
Yash Dhull,Batter,₹20 lakh,₹50 lakh,8,0
Rovman Powell,Batter,₹75 lakh,₹2.8 crore,9,1
Mandeep Singh,Batter,₹50 lakh,₹1.1 crore,8.5,1
Ashwin Hebbar,Batter,₹20 lakh,₹20 lakh,8,0
David Warner,Batter,₹2 crore,₹6.25 crore,10,0
Rishabh Pant (R),Wicket-keeper,–,₹16 crore,10,1
Tim Seifert,Wicket-keeper,₹50 lakh,₹50 lakh,8,1
Srikar Bharat,Wicket-keeper,₹20 lakh,₹2 crore,8.5,0
Axar Patel (R),All-rounder,–,₹9 crore,9,1
Vicky Ostwal,Bowler,₹20 lakh,₹20 lakh,8,0
Ripal Patel,Batter,₹20 lakh,₹20 lakh,8,0
Lalit Yadav,All-rounder,₹20 lakh,₹65 lakh,8.5,1
Mitchell Marsh,All-rounder,₹2 crore,₹6.5 crore,9,0
Anrich Nortje (R),Bowler,–,₹6.5 crore,9,0
Lungi Ngidi,Bowler,₹50 lakh,₹50 lakh,8.5,0
Kamlesh Nagarkoti,Bowler,₹40 lakh,₹1.1 crore,8,1
Praveen Dubey,Bowler,₹20 lakh,₹50 lakh,8,0
Chetan Sakariya,Bowler,₹50 lakh,₹4.2 crore,8.5,0
Khaleel Ahmed,Bowler,₹50 lakh,₹5.25 crore,8.5,1
Kuldeep Yadav,Bowler,₹1 crore,₹2 crore,8.5,1
Mustafizur Rahman,Bowler,₹2 crore,₹2 crore,8.5,0
Shardul Thakur,Bowler,₹2 crore,₹10.75 crore,9,1
