Player,Role,Base Price,Sold Price
Virat Kohli (R),Batter,–,₹15 crore
Suyash Prabhudessai,Batter,₹20 lakh,₹30 lakh
Faf du Plessis,Batter,₹2 crore,₹7 crore
Luvnith Sisodia,Wicket-keeper,₹20 lakh,₹20 lakh
Finn Allen,Wicket-keeper,₹50 lakh,₹80 lakh
Anuj Rawat,Wicket-keeper,₹20 lakh,₹3.4 crore
Dinesh Karthik,Wicket-keeper,₹2 crore,₹5.5 crore
Glenn Maxwell (R),All-rounder,–,₹11 crore
Sherfane Rutherford,All-rounder,₹1 crore,₹1 crore
Aneeshwar Gautam,All-rounder,₹20 lakh,₹20 lakh
David Willey,All-rounder,₹2 crore,₹2 crore
Mahipal Lomror,All-rounder,₹40 lakh,₹95 lakh
Shahbaz Ahmed,All-rounder,₹30 lakh,₹2.4 crore
Wanindu Hasaranga,All-rounder,₹1 crore,₹10.75 crore
Mohammed Siraj (R),Bowler,—,₹7 crore
Chama Milind,Bowler,₹20 lakh,₹25 lakh
Siddarth Kaul,Bowler,₹75 lakh,₹75 lakh
Karn Sharma,Bowler,₹50 lakh,₹50 lakh
Harshal Patel,Bowler,₹2 crore,₹10.75 crore
Akash Deep,Bowler,₹20 lakh,₹20 lakh
Jason Behrendorff,Bowler,₹75 lakh,₹75 lakh
Josh Hazlewood,Bowler,₹2 crore,₹7.75 crore
